username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,157000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,51400,https://github.com/junegunn/fzf
sharkdp,bat,40600,https://github.com/sharkdp/bat
sherlock-project,sherlock,40100,https://github.com/sherlock-project/sherlock
BurntSushi,ripgrep,37000,https://github.com/BurntSushi/ripgrep
google,zx,36900,https://github.com/google/zx
wagoodman,dive,36300,https://github.com/wagoodman/dive
chubin,cheat.sh,35000,https://github.com/chubin/cheat.sh
jesseduffield,lazygit,33800,https://github.com/jesseduffield/lazygit
cli,cli,31900,https://github.com/cli/cli
spf13,cobra,31400,https://github.com/spf13/cobra
n8n-io,n8n,29300,https://github.com/n8n-io/n8n
httpie,httpie,27100,https://github.com/httpie/httpie
alebcay,awesome-shell,27100,https://github.com/alebcay/awesome-shell
sharkdp,fd,27000,https://github.com/sharkdp/fd
ibraheemdev,modern-unix,26300,https://github.com/ibraheemdev/modern-unix
angular,angular-cli,26000,https://github.com/angular/angular-cli
tqdm,tqdm,24400,https://github.com/tqdm/tqdm
google,python-fire,24300,https://github.com/google/python-fire
acheong08,ChatGPT,23200,https://github.com/acheong08/ChatGPT
